"Notes"	"County"	"County Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Lincoln County, NM"	"35027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	19429	Unreliable
	"Otero County, NM"	"35035"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	64362	Unreliable
	"Rio Arriba County, NM"	"35039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	26	39465	65.9
	"Rio Arriba County, NM"	"35039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	29	40040	72.4
	"Sandoval County, NM"	"35043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	21	139394	15.1
	"Sandoval County, NM"	"35043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	142025	Unreliable
	"San Juan County, NM"	"35045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	118737	Unreliable
	"San Juan County, NM"	"35045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	115079	Unreliable
	"San Miguel County, NM"	"35047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	27760	Unreliable
	"Santa Fe County, NM"	"35049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	40	148686	26.9
	"Santa Fe County, NM"	"35049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	148651	24.2
	"Santa Fe County, NM"	"35049"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	11	148651	Unreliable
	"Valencia County, NM"	"35061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	75737	Unreliable
	"Valencia County, NM"	"35061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	75626	Unreliable
	"Albany County, NY"	"36001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	308846	Unreliable
	"Albany County, NY"	"36001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	27	309381	8.7
	"Albany County, NY"	"36001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	21	308846	6.8
	"Bronx County, NY"	"36005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	213	1455444	14.6
	"Bronx County, NY"	"36005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	304	1455720	20.9
	"Bronx County, NY"	"36005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	18	1455720	Unreliable
	"Broome County, NY"	"36007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	34	196567	17.3
	"Broome County, NY"	"36007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	69	195334	35.3
	"Cattaraugus County, NY"	"36009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	77922	Unreliable
	"Cattaraugus County, NY"	"36009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	77677	Unreliable
	"Cayuga County, NY"	"36011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	78288	Unreliable
	"Cayuga County, NY"	"36011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	77861	Unreliable
	"Chautauqua County, NY"	"36013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	130779	18.4
	"Chautauqua County, NY"	"36013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	33	129504	25.5
	"Chemung County, NY"	"36015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	87071	Unreliable
	"Chemung County, NY"	"36015"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	86322	Unreliable
	"Columbia County, NY"	"36021"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	11	60989	Unreliable
	"Delaware County, NY"	"36025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	45523	Unreliable
	"Dutchess County, NY"	"36027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	56	295754	18.9
	"Dutchess County, NY"	"36027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	59	294473	20.0
	"Erie County, NY"	"36029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	252	922578	27.3
	"Erie County, NY"	"36029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	278	921046	30.2
	"Erie County, NY"	"36029"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	19	922578	Unreliable
	"Erie County, NY"	"36029"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	18	921046	Unreliable
	"Genesee County, NY"	"36037"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	58482	Unreliable
	"Jefferson County, NY"	"36045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	117635	Unreliable
	"Jefferson County, NY"	"36045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	24	114006	21.1
	"Kings County, NY"	"36047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	221	2636735	8.4
	"Kings County, NY"	"36047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	312	2629150	11.9
	"Kings County, NY"	"36047"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	15	2636735	Unreliable
	"Kings County, NY"	"36047"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	19	2629150	Unreliable
	"Kings County, NY"	"36047"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	11	2636735	Unreliable
	"Madison County, NY"	"36053"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	71329	Unreliable
	"Monroe County, NY"	"36055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	82	749600	10.9
	"Monroe County, NY"	"36055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	120	747727	16.0
	"Monroe County, NY"	"36055"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	16	749600	Unreliable
	"Montgomery County, NY"	"36057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	49276	Unreliable
	"Nassau County, NY"	"36059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	177	1361350	13.0
	"Nassau County, NY"	"36059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	201	1361500	14.8
	"Nassau County, NY"	"36059"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	22	1361350	1.6
	"New York County, NY"	"36061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	140	1644518	8.5
	"New York County, NY"	"36061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	241	1643734	14.7
	"New York County, NY"	"36061"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	22	1644518	1.3
	"New York County, NY"	"36061"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	23	1643734	1.4
	"Niagara County, NY"	"36063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	48	212652	22.6
	"Niagara County, NY"	"36063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	48	211758	22.7
	"Oneida County, NY"	"36065"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	37	232500	15.9
	"Oneida County, NY"	"36065"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	55	231190	23.8
	"Onondaga County, NY"	"36067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	89	468463	19.0
	"Onondaga County, NY"	"36067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	137	466194	29.4
	"Ontario County, NY"	"36069"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	109828	Unreliable
	"Orange County, NY"	"36071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	67	377647	17.7
	"Orange County, NY"	"36071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	79	379210	20.8
	"Oswego County, NY"	"36075"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	18	120146	Unreliable
	"Oswego County, NY"	"36075"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	118987	19.3
	"Putnam County, NY"	"36079"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	99042	Unreliable
	"Putnam County, NY"	"36079"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	98900	23.3
	"Queens County, NY"	"36081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	142	2339150	6.1
	"Queens County, NY"	"36081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	233	2333054	10.0
	"Queens County, NY"	"36081"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	18	2339150	Unreliable
	"Queens County, NY"	"36081"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	24	2333054	1.0
	"Rensselaer County, NY"	"36083"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	14	160266	Unreliable
	"Richmond County, NY"	"36085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	74	474558	15.6
	"Richmond County, NY"	"36085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	122	476015	25.6
	"Rockland County, NY"	"36087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	32	326037	9.8
	"Rockland County, NY"	"36087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	34	326780	10.4
	"St. Lawrence County, NY"	"36089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	111007	Unreliable
	"St. Lawrence County, NY"	"36089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	110038	Unreliable
	"Saratoga County, NY"	"36091"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	13	226249	Unreliable
	"Schenectady County, NY"	"36093"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	13	154604	Unreliable
	"Schenectady County, NY"	"36093"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	30	154553	19.4
	"Steuben County, NY"	"36101"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	96940	Unreliable
	"Suffolk County, NY"	"36103"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	252	1501587	16.8
	"Suffolk County, NY"	"36103"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	354	1492583	23.7
	"Suffolk County, NY"	"36103"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	21	1501587	1.4
	"Suffolk County, NY"	"36103"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	20	1492583	1.3
	"Sullivan County, NY"	"36105"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	18	74877	Unreliable
	"Sullivan County, NY"	"36105"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	74801	Unreliable
	"Tompkins County, NY"	"36109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	104926	Unreliable
	"Tompkins County, NY"	"36109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	104871	Unreliable
	"Ulster County, NY"	"36111"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	27	179225	15.1
	"Ulster County, NY"	"36111"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	20	180143	11.1
	"Ulster County, NY"	"36111"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	29	179225	16.2
	"Westchester County, NY"	"36119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	101	976396	10.3
	"Westchester County, NY"	"36119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	139	974542	14.3
	"Westchester County, NY"	"36119"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	11	976396	Unreliable
	"Alamance County, NC"	"37001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	158276	Unreliable
	"Alamance County, NC"	"37001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	159688	Unreliable
	"Alexander County, NC"	"37003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	37325	Unreliable
	"Brunswick County, NC"	"37019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	28	122765	22.8
	"Brunswick County, NC"	"37019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	38	126953	29.9
	"Buncombe County, NC"	"37021"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	37	253178	14.6
	"Buncombe County, NC"	"37021"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	51	256088	19.9
	"Burke County, NC"	"37023"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	31	88842	34.9
	"Burke County, NC"	"37023"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	88851	25.9
	"Cabarrus County, NC"	"37025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	23	196762	11.7
	"Cabarrus County, NC"	"37025"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	39	201590	19.3
	"Caldwell County, NC"	"37027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	27	81287	33.2
	"Caldwell County, NC"	"37027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	24	81449	29.5
	"Carteret County, NC"	"37031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	18	68879	Unreliable
	"Carteret County, NC"	"37031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	68890	Unreliable
	"Catawba County, NC"	"37035"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	155056	15.5
	"Catawba County, NC"	"37035"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	34	156459	21.7
	"Cleveland County, NC"	"37045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	23	96879	23.7
	"Cleveland County, NC"	"37045"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	97144	Unreliable
	"Columbus County, NC"	"37047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	56505	Unreliable
	"Craven County, NC"	"37049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	103451	19.3
	"Craven County, NC"	"37049"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	32	103445	30.9
	"Cumberland County, NC"	"37051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	46	323838	14.2
	"Cumberland County, NC"	"37051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	55	327127	16.8
	"Davidson County, NC"	"37057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	23	164622	14.0
	"Davidson County, NC"	"37057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	164926	21.8
	"Davie County, NC"	"37059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	42013	Unreliable
	"Durham County, NC"	"37063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	300952	6.6
	"Durham County, NC"	"37063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	27	306212	8.8
	"Edgecombe County, NC"	"37065"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	53318	Unreliable
	"Forsyth County, NC"	"37067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	58	369019	15.7
	"Forsyth County, NC"	"37067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	62	371511	16.7
	"Forsyth County, NC"	"37067"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	13	371511	Unreliable
	"Franklin County, NC"	"37069"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	64705	Unreliable
	"Gaston County, NC"	"37071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	36	213442	16.9
	"Gaston County, NC"	"37071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	60	216965	27.7
	"Granville County, NC"	"37077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	59031	Unreliable
	"Guilford County, NC"	"37081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	55	517600	10.6
	"Guilford County, NC"	"37081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	90	521330	17.3
	"Halifax County, NC"	"37083"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	52456	Unreliable
	"Halifax County, NC"	"37083"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	51766	Unreliable
	"Harnett County, NC"	"37085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	128140	Unreliable
	"Harnett County, NC"	"37085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	130881	Unreliable
	"Haywood County, NC"	"37087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	59868	Unreliable
	"Haywood County, NC"	"37087"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	60682	Unreliable
	"Henderson County, NC"	"37089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	112655	Unreliable
	"Henderson County, NC"	"37089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	114209	Unreliable
	"Iredell County, NC"	"37097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	169866	11.8
	"Iredell County, NC"	"37097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	34	172916	19.7
	"Jackson County, NC"	"37099"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	42241	Unreliable
	"Johnston County, NC"	"37101"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	185660	12.9
	"Johnston County, NC"	"37101"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	191450	Unreliable
	"Lee County, NC"	"37105"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	59660	Unreliable
	"Lenoir County, NC"	"37107"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	58106	Unreliable
	"Lincoln County, NC"	"37109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	81168	Unreliable
	"McDowell County, NC"	"37111"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	45075	Unreliable
	"Mecklenburg County, NC"	"37119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	98	1034070	9.5
	"Mecklenburg County, NC"	"37119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	155	1054835	14.7
	"Mecklenburg County, NC"	"37119"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	12	1034070	Unreliable
	"Mecklenburg County, NC"	"37119"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	11	1054835	Unreliable
	"Moore County, NC"	"37125"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	94352	Unreliable
	"Moore County, NC"	"37125"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	95776	Unreliable
	"Nash County, NC"	"37127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	93919	Unreliable
	"Nash County, NC"	"37127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	22	94005	23.4
	"New Hanover County, NC"	"37129"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	50	220358	22.7
	"New Hanover County, NC"	"37129"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	62	223483	27.7
	"Onslow County, NC"	"37133"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	186311	Unreliable
	"Onslow County, NC"	"37133"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	187136	19.2
	"Orange County, NC"	"37135"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	141796	Unreliable
	"Pender County, NC"	"37141"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	57611	Unreliable
	"Pender County, NC"	"37141"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	59090	Unreliable
	"Pitt County, NC"	"37147"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	175842	Unreliable
	"Pitt County, NC"	"37147"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	177220	14.1
	"Randolph County, NC"	"37151"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	30	142799	21.0
	"Randolph County, NC"	"37151"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	32	143416	22.3
	"Richmond County, NC"	"37153"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	45437	Unreliable
	"Robeson County, NC"	"37155"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	134197	Unreliable
	"Robeson County, NC"	"37155"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	20	133235	15.0
	"Rockingham County, NC"	"37157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	91758	Unreliable
	"Rockingham County, NC"	"37157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	91393	27.4
	"Rowan County, NC"	"37159"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	32	139142	23.0
	"Rowan County, NC"	"37159"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	139933	25.7
	"Rutherford County, NC"	"37161"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	66390	Unreliable
	"Rutherford County, NC"	"37161"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	66421	Unreliable
	"Sampson County, NC"	"37163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	63124	Unreliable
	"Stanly County, NC"	"37167"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	60714	Unreliable
	"Stokes County, NC"	"37169"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	46351	Unreliable
	"Stokes County, NC"	"37169"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	46097	Unreliable
	"Surry County, NC"	"37171"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	72743	Unreliable
	"Surry County, NC"	"37171"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	72113	Unreliable
	"Union County, NC"	"37179"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	22	222742	9.9
	"Union County, NC"	"37179"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	22	226606	9.7
	"Wake County, NC"	"37183"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	75	1024198	7.3
	"Wake County, NC"	"37183"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	110	1046791	10.5
	"Wake County, NC"	"37183"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	19	1046791	Unreliable
	"Wayne County, NC"	"37191"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	124132	Unreliable
	"Wayne County, NC"	"37191"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	124150	Unreliable
	"Wilkes County, NC"	"37193"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	25	68502	36.5
	"Wilkes County, NC"	"37193"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	28	68740	40.7
	"Wilson County, NC"	"37195"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	81661	Unreliable
